voltage,current_mA
0.93847284,4.0
0.93926143,4.0
0.94063892,4.0
0.94132499,4.0
0.94083204,4.0
0.94034862,4.0
0.9401597,4.0
0.94036951,4.0
0.94086179,4.0
0.94143943,4.0
0.94173736,4.0
0.94157886,4.0
0.94029378,4.0
0.94046068,4.0
0.94010009,4.0
0.94049825,4.0
0.94091186,4.0
0.9407444,4.0
0.94109964,4.0
0.94058523,4.0
0.9404541,4.0
0.94014301,4.0
0.93838405,4.0
0.93864212,4.0
0.93881683,4.0
0.94023056,4.0
0.95128068,4.0
0.95593528,4.0
0.94046964,4.0
0.94194545,4.0
0.94333181,4.0
0.94402618,4.0
0.94395647,4.0
0.94314947,4.0
0.94293193,4.0
0.94334259,4.0
0.94420509,4.0
0.94496917,4.0
0.94503831,4.0
0.94501028,4.0
0.94565343,4.0
0.9458662,4.0
0.94636926,4.0
0.94783859,4.0
0.94661188,4.0
0.94657611,4.0
0.95073299,4.0
0.98736953,4.0
0.98752326,4.0
0.9620203,4.0
0.98308696,4.0
0.97650537,4.0
0.94527797,4.0
0.94484882,4.0
0.9440113,4.0
0.95652656,4.0
0.94769554,4.0
0.94331092,4.0
0.94480409,4.0
0.94565219,4.0
0.94574642,4.0
0.94600152,4.0
0.94564266,4.0
0.94616603,4.0
0.94668817,4.0
0.94638004,4.0
0.94702854,4.0
0.94778614,4.0
0.94891262,4.0
0.95005817,4.0
0.94935903,4.0
0.95920572,4.0
0.95165624,4.0
0.94953966,4.0
0.95004987,4.0
0.95058746,4.0
0.9493597,4.0
0.94885244,4.0
0.9489788,4.0
0.94884643,4.0
0.94879703,4.0
0.94771871,4.0
0.95887012,4.0
0.97020874,4.0
0.9524722,4.0
0.94656476,4.0
0.94541025,4.0
0.96255197,4.0
0.95167827,4.0
0.94600152,4.0
0.94702968,4.0
0.94852581,4.0
0.94884529,4.0
0.94886016,4.0
0.94883213,4.0
0.94882564,4.0
0.94884109,4.0
0.94919815,4.0
0.94989852,4.0
0.95039615,4.0
0.94917545,4.0
0.94883041,4.0
0.9488244,4.0
0.9488202,4.0
0.94884643,4.0
0.94916954,4.0
0.94971551,4.0
0.95244359,4.0
0.95093441,4.0
0.94836959,4.0
0.94887332,4.0
0.94899787,4.0
0.94884586,4.0
0.94937095,4.0
0.94988651,4.0
0.94950628,4.0
0.94901933,4.0
0.94951934,4.0
0.95041284,4.0
0.95010232,4.0
0.94969406,4.0
0.94933042,4.0
0.95067033,4.0
0.96816549,4.0
0.95756006,4.0
0.9534914,4.0
0.94905986,4.0
0.94868192,4.0
0.94890193,4.0
0.94950628,4.0
0.95053501,4.0
0.95128135,4.0
0.95172233,4.0
0.9510971,4.0
0.94916057,4.0
0.94919691,4.0
0.94950208,4.0
0.95301704,4.0
0.96840038,4.0
0.96696033,4.0
0.9866024,4.0
0.99714174,4.0
0.95616893,4.0
0.9497262,4.0
0.94958553,4.0
0.95003318,4.0
0.95078067,4.0
0.9506751,4.0
0.95045938,4.0
0.95083608,4.0
0.95110311,4.0
0.95197629,4.0
0.95184812,4.0
0.95194892,4.0
0.95219802,4.0
0.95402374,4.0
0.95482482,4.0
0.95318689,4.0
0.95268383,4.0
0.95245018,4.0
0.95279998,4.0
0.95250797,4.0
0.95240602,4.0
0.95251388,4.0
0.952114,4.0
0.9521223,4.0
0.95259914,4.0
0.95279703,4.0
0.95270233,4.0
0.9532936,4.0
0.95368461,4.0
0.95354328,4.0
0.9526266,4.0
0.95309686,4.0
0.95322322,4.0
0.95184993,4.0
0.95737409,4.0
0.94983177,4.0
0.95088672,4.0
0.95174684,4.0
0.95214853,4.0
0.95229396,4.0
0.95199298,4.0
0.94973516,4.0
0.95021495,4.0
0.95139398,4.0
0.95151853,4.0
0.95220394,4.0
0.95233926,4.0
0.95221529,4.0
0.95207109,4.0
0.95229339,4.0
0.9528161,4.0
0.95293951,4.0
0.95305156,4.0
0.95311651,4.0
0.95327033,4.0
0.95357246,4.0
0.95322561,4.0
0.95300331,4.0
0.95291442,4.0
0.95147619,4.0
0.94949493,4.0
0.95023641,4.0
0.95115671,4.0
0.95157337,4.0
0.95064773,4.0
0.94914331,4.0
0.94885835,4.0
0.94969463,4.0
0.9507925,4.0
0.95170154,4.0
0.95207462,4.0
0.95237684,4.0
0.95238456,4.0
0.9513874,4.0
0.9520317,4.0
0.95249958,4.0
0.95299797,4.0
0.95315942,4.0
0.9531249,4.0
0.9527255,4.0
0.95271301,4.0
0.95259971,4.0
0.95099639,4.0
0.95110664,4.0
0.95192623,4.0
0.95185108,4.0
0.95107631,4.0
0.95094928,4.0
0.95163898,4.0
0.95192861,4.0
0.95213785,4.0
0.95147438,4.0
0.95088491,4.0
0.95166397,4.0
0.952077,4.0
0.95240964,4.0
0.95287275,4.0
0.95330905,4.0
0.95351047,4.0
0.95353498,4.0
0.95364465,4.0
0.95346822,4.0
0.95329055,4.0
0.95350875,4.0
0.95368871,4.0
0.95390033,4.0
0.95406188,4.0
0.95415363,4.0
0.95400762,4.0
0.95453634,4.0
0.95396528,4.0
0.95349864,4.0
0.95475683,4.0
0.95381269,4.0
0.95374059,4.0
0.95373821,4.0
0.95341033,4.0
0.9537734,4.0
0.95379009,4.0
0.95369586,4.0
0.95412921,4.0
0.95407791,4.0
0.95406723,4.0
0.9539051,4.0
0.95414237,4.0
0.95433244,4.0
0.95427703,4.0
