voltage,current_mA
2.38e-06,4.0
4.17e-06,4.0
4.77e-06,4.0
6.56e-06,4.0
4.77e-06,4.0
2.98e-06,4.0
4.77e-06,4.0
5.36e-06,4.0
4.17e-06,4.0
4.77e-06,4.0
5.36e-06,4.0
1.19e-06,4.0
5.36e-06,4.0
4.77e-06,4.0
4.17e-06,4.0
6.56e-06,4.0
4.77e-06,4.0
5.96e-06,4.0
6.56e-06,4.0
4.77e-06,4.0
1.19e-06,4.0
5.96e-06,4.0
5.96e-06,4.0
7.75e-06,4.0
4.77e-06,4.0
3.58e-06,4.0
4.77e-06,4.0
4.17e-06,4.0
3.58e-06,4.0
1.19e-06,4.0
7.15e-06,4.0
2.98e-06,4.0
6.56e-06,4.0
1.19e-06,4.0
2.38e-06,4.0
1.19e-06,4.0
1.19e-06,4.0
2.98e-06,4.0
6.56e-06,4.0
4.17e-06,4.0
1.19e-06,4.0
1.79e-06,4.0
4.77e-06,4.0
5.96e-06,4.0
2.98e-06,4.0
5.36e-06,4.0
4.17e-06,4.0
3.58e-06,4.0
4.17e-06,4.0
4.17e-06,4.0
2.98e-06,4.0
4.77e-06,4.0
2.98e-06,4.0
5.36e-06,4.0
4.77e-06,4.0
4.77e-06,4.0
0.0,4.0
3.58e-06,4.0
3.58e-06,4.0
5.36e-06,4.0
5.36e-06,4.0
2.38e-06,4.0
4.77e-06,4.0
2.38e-06,4.0
6.56e-06,4.0
4.77e-06,4.0
4.77e-06,4.0
2.38e-06,4.0
5.96e-06,4.0
3.58e-06,4.0
1.79e-06,4.0
2.98e-06,4.0
2.38e-06,4.0
4.17e-06,4.0
4.77e-06,4.0
2.98e-06,4.0
5.36e-06,4.0
5.36e-06,4.0
4.77e-06,4.0
3.58e-06,4.0
4.77e-06,4.0
4.77e-06,4.0
1.19e-06,4.0
2.98e-06,4.0
5.36e-06,4.0
6.56e-06,4.0
4.77e-06,4.0
5.96e-06,4.0
5.96e-06,4.0
4.17e-06,4.0
7.15e-06,4.0
4.17e-06,4.0
-1.19e-06,4.0
2.98e-06,4.0
6.56e-06,4.0
2.38e-06,4.0
5.36e-06,4.0
8.94e-06,4.0
8.34e-06,4.0
9.54e-06,4.0
8.94e-06,4.0
5.36e-06,4.0
1.013e-05,4.0
5.96e-06,4.0
7.15e-06,4.0
5.96e-06,4.0
6.56e-06,4.0
6.56e-06,4.0
5.36e-06,4.0
4.17e-06,4.0
4.77e-06,4.0
7.15e-06,4.0
4.17e-06,4.0
5.36e-06,4.0
5.36e-06,4.0
5.36e-06,4.0
5.36e-06,4.0
6.56e-06,4.0
5.36e-06,4.0
7.75e-06,4.0
7.15e-06,4.0
5.36e-06,4.0
5.36e-06,4.0
4.77e-06,4.0
6.56e-06,4.0
2.38e-06,4.0
7.15e-06,4.0
3.58e-06,4.0
2.98e-06,4.0
1.79e-06,4.0
2.98e-06,4.0
4.17e-06,4.0
5.36e-06,4.0
